state,year,deaths,cruderate,ageadjustedrate,sttax,hispanic,nhblack,nhwhite,nhother,lhs,hs,somecol,colplus
New York,2012,51,1.3,1.3,435,0.1785055,0.1356089,0.5521218,0.1337638,0.126845,0.3016605,0.1988007,0.3726937
New York,2013,59,1.5,1.4,435,0.159447,0.1313364,0.5875576,0.121659,0.1105991,0.2788018,0.2110599,0.3995392
New York,2014,58,1.4,1.4,435,0.1805556,0.1240421,0.5871648,0.1082375,0.11159,0.2787356,0.1949234,0.414751
New York,2015,58,1.4,1.5,435,0.186001,0.1164953,0.5829662,0.1145374,0.0978952,0.2648067,0.2094958,0.4278023
New York,2016,58,1.4,1.4,435,0.1704381,0.1280693,0.5623496,0.139143,0.0958113,0.2840635,0.1906596,0.4294656
North Carolina,2003,16,0.9,0.9,5,0.1197917,0.2005208,0.640625,0.0390625,0.1588542,0.3411458,0.203125,0.296875
North Carolina,2005,16,0.9,0.9,5,0.1086351,0.2107707,0.6258125,0.0547818,0.172702,0.3166202,0.2172702,0.2934076
North Carolina,2007,17,0.9,0.9,35,0.1289474,0.1877193,0.6263158,0.0570175,0.1421053,0.3157895,0.2359649,0.3061404
North Carolina,2008,13,0.7,0.7,35,0.126593,0.1988105,0.6074767,0.0671198,0.1648258,0.2837723,0.2387426,0.3126593
North Carolina,2009,20,1,1,35,0.1337737,0.209744,0.6019818,0.0545004,0.164327,0.2914946,0.2402973,0.3038811
North Carolina,2010,10,0.5,0.5,45,0.1225649,0.2183442,0.5900974,0.0689935,0.1404221,0.3125,0.2637987,0.2832792
North Carolina,2011,11,0.6,0.6,45,0.1347332,0.2370954,0.5739282,0.0542432,0.1706037,0.2983377,0.2712161,0.2598425
North Carolina,2012,10,0.5,0.5,45,0.1205608,0.2074766,0.6084112,0.0635514,0.1392523,0.2925234,0.264486,0.3037383
North Carolina,2013,13,0.7,0.7,45,0.1248761,0.2111001,0.5728444,0.0911794,0.1377602,0.2775025,0.2705649,0.3141724
North Carolina,2014,29,1.5,1.5,45,0.1213819,0.2091503,0.579832,0.0896359,0.1045752,0.286648,0.2614379,0.3473389
North Carolina,2015,28,1.4,1.4,45,0.1188878,0.1744967,0.6347076,0.071908,0.1150527,0.2665388,0.2655801,0.3528284
North Carolina,2016,35,1.7,1.7,45,0.1192308,0.1865385,0.6163462,0.0778846,0.0826923,0.2615385,0.2913462,0.3644231
Ohio,2003,12,0.5,0.5,55,0.026178,0.1064572,0.8394415,0.0279232,0.1082024,0.3874345,0.2094241,0.2949389
Ohio,2005,13,0.6,0.6,55,0.0309917,0.0964187,0.8285124,0.0440771,0.1108815,0.3712121,0.2121212,0.3057851
Ohio,2006,13,0.6,0.6,125,0.0390836,0.1179245,0.801213,0.041779,0.1226415,0.3638814,0.240566,0.272911
Ohio,2007,28,1.2,1.2,125,0.028321,0.1126096,0.8159137,0.0431558,0.1126096,0.3479434,0.2258935,0.3135536
Ohio,2008,22,1,1,125,0.0323915,0.1061337,0.820124,0.0413508,0.1212957,0.3335631,0.233632,0.3115093
Ohio,2009,42,1.9,1.9,125,0.0354906,0.1141267,0.8114127,0.0389701,0.1169102,0.3305497,0.2560891,0.2964509
Ohio,2010,33,1.5,1.5,125,0.04482,0.1285819,0.7883909,0.0382072,0.1080088,0.3548861,0.2424688,0.2946363
Ohio,2011,30,1.3,1.3,125,0.0342262,0.1235119,0.8035714,0.0386905,0.1108631,0.3422619,0.2410714,0.3058036
Ohio,2012,30,1.4,1.3,125,0.0434012,0.129318,0.7945084,0.0327724,0.1240035,0.3348096,0.2568645,0.2843224
Ohio,2013,25,1.1,1.1,125,0.0500391,0.1055512,0.7990618,0.0453479,0.0828772,0.354183,0.2634871,0.2994527
Ohio,2014,21,1,0.9,125,0.0385542,0.1212851,0.788755,0.0514056,0.1084337,0.2987952,0.2763052,0.3164659
Ohio,2015,37,1.7,1.6,125,0.0301624,0.1098221,0.8066512,0.0533643,0.0982212,0.3341067,0.2343387,0.3333333
Ohio,2016,36,1.6,1.6,160,0.0389073,0.1100993,0.7955298,0.0554636,0.1018212,0.3129139,0.2557947,0.3294702
Oklahoma,2004,14,1.9,1.9,23,0.1082803,0.1019108,0.6496815,0.1401274,0.1592357,0.4140127,0.2038217,0.2229299
Oklahoma,2005,20,2.8,2.7,23,0.1113586,0.0579065,0.6436526,0.1870824,0.1870824,0.44098,0.1737194,0.1982183
Oklahoma,2006,12,1.7,1.6,103,0.1146789,0.0711009,0.6766055,0.1376147,0.190367,0.3692661,0.2408257,0.1995413
Oklahoma,2007,11,1.5,1.6,103,0.1008772,0.0482456,0.6842105,0.1666667,0.1732456,0.4144737,0.2149123,0.1973684
Oklahoma,2009,15,2,2.1,103,0.123431,0.0564854,0.6380753,0.1820084,0.1820084,0.3640167,0.2259414,0.2280335
Oklahoma,2010,16,2.2,2.3,103,0.1651376,0.0458716,0.5963303,0.1926606,0.1399083,0.396789,0.2637615,0.1995413
Oklahoma,2011,17,2.3,2.3,103,0.1064718,0.0835073,0.6221294,0.1878914,0.1544885,0.3716075,0.2713988,0.2025052
Oklahoma,2012,14,1.9,1.8,103,0.1422764,0.0528455,0.5833333,0.2215447,0.1626016,0.3800813,0.254065,0.203252
Oklahoma,2013,17,2.2,2.2,103,0.1272727,0.0525253,0.620202,0.2,0.1676768,0.4161616,0.2242424,0.1919192
Oklahoma,2014,12,1.6,1.6,103,0.1202673,0.0601336,0.5946548,0.2249443,0.1269488,0.4209354,0.233853,0.2182628
Oklahoma,2015,13,1.7,1.5,103,0.1012346,0.0666667,0.6296296,0.2024691,0.1481481,0.3851852,0.237037,0.2296296
Oklahoma,2016,14,1.8,1.7,103,0.1464968,0.0488323,0.581741,0.2229299,0.1210191,0.3927813,0.2335456,0.2526539
Oregon,2011,10,1.3,1.3,118,0.1666667,0.0162037,0.7199074,0.0972222,0.1203704,0.3101852,0.2314815,0.337963
Oregon,2013,11,1.4,1.4,118,0.1119403,0.0273632,0.7611941,0.0995025,0.0970149,0.2935323,0.2736318,0.3358209
Pennsylvania,2003,21,0.8,0.8,100,0.0568807,0.0825688,0.8165138,0.0440367,0.1027523,0.346789,0.2183486,0.3321101
Pennsylvania,2004,14,0.6,0.6,100,0.062069,0.0862069,0.8172414,0.0344828,0.1413793,0.3344828,0.187931,0.3362069
Pennsylvania,2005,16,0.6,0.7,135,0.0569575,0.0814708,0.8312905,0.0302812,0.112473,0.371305,0.1961067,0.3201154
Pennsylvania,2006,28,1.1,1.2,135,0.0504826,0.0824053,0.830735,0.0363771,0.1269488,0.3192279,0.199703,0.3541203
Pennsylvania,2007,38,1.5,1.6,135,0.0634355,0.0841055,0.8054169,0.0470421,0.1254455,0.3221668,0.1981468,0.3542409
Pennsylvania,2008,28,1.1,1.2,135,0.0599586,0.0771881,0.8249483,0.0379049,0.1047553,0.3349414,0.2308753,0.329428
Pennsylvania,2009,38,1.6,1.6,135,0.0719942,0.0712743,0.8063355,0.050396,0.1022318,0.325414,0.2044636,0.3678906
Pennsylvania,2010,32,1.3,1.3,160,0.057377,0.0879285,0.8055142,0.0491803,0.1251863,0.3062593,0.2138599,0.3546945
Pennsylvania,2011,21,0.9,0.9,160,0.0535316,0.0944238,0.8074349,0.0446097,0.0988848,0.335316,0.2185874,0.3472119
Pennsylvania,2012,25,1,1,160,0.0601266,0.0822785,0.8093355,0.0482595,0.119462,0.3188291,0.2183544,0.3433544
Pennsylvania,2013,32,1.3,1.4,160,0.0755149,0.085431,0.7871854,0.0518688,0.1128909,0.3180778,0.1975591,0.3714722
Pennsylvania,2014,29,1.2,1.2,160,0.06724,0.0914777,0.7881157,0.0531665,0.1102424,0.3166536,0.1923378,0.3807662
